0.004499	0.619967	0.842001	0.113175	0.162162	0.238865	0.341594	0.751339	0.371585	0.556818	B
0.329844	0.678575	0.7111	0.075431	0.18853	0.275455	0.285144	0.810408	0.672131	0.352273	B
0.035169	0.361781	0.304742	0.216885	0.429869	0.143223	0.089158	0.662316	0.57377	0.011364	A
0.251162	0.532014	0.431371	0.229662	0.542445	0.061938	0.052293	0.439006	0.26776	0.068182	A
0.001202	0.644686	0.684523	0.078713	0.195635	0.393634	0.508185	0.9667	0.57377	0.079545	A
0.212586	0.652171	0.617613	0.132575	0.282722	0.216758	0.051741	0.774933	0.581967	0.261364	B
0.137857	0.777369	0.799479	0.117923	0.22962	0.171533	0.225672	0.688588	0	0.272727	B
0.445175	0.666301	0.612715	0.203903	0.204131	0.303613	0.313369	0.858015	0.590164	0.011364	B
1	0.724918	0.566545	0.18169	0.454113	0.158239	0.164804	0.700803	0.680328	0.295455	B
0.065313	0.613607	0.620115	0.09779	0.202959	0.265124	0.322171	0.806476	0.374317	0.897727	B
0.05708	0.290513	0.304325	0.261605	0.653849	0.063584	0.078537	0.411647	0.672131	1	A
0.960063	0.424806	0.331631	0.154818	0.023878	0.260667	0.316487	0.692771	0.169399	0.125	B
0.109769	0.50458	0.409067	0.166393	0.34454	0.11352	0.008867	0.598143	0.338798	0.818182	A
0.038785	0.630469	0.503179	0.14714	0.367758	0.266263	0.146453	0.911312	0.112022	0.818182	B
0.010359	0.486913	0.493382	0.167419	0.399912	0.028158	0.066	0.406543	0.639344	0.011364	A
0	0.587144	0.491923	0.176298	0.310994	0.107645	0.132584	0.589608	0.060109	0.079545	B
0.026985	0.517844	0.432413	0.199156	0.48048	0.05462	0.091594	0.43842	0.923497	0.340909	A
0.051935	0.738145	0.984471	0.061394	0.153446	0.470462	0.476354	1	0.02459	0.556818	B
0.084472	0	0.257322	1	0.372739	0.176496	0.285598	0.727493	0.363388	0.227273	B
0.040275	0.869195	0.705159	0.194995	0.487365	0.112583	0.136936	0.586764	0.428962	0.420455	B
0.047565	0.963183	1	0.117014	0.264923	0.289256	0.392621	0.88345	0.631148	0.261364	B
0.029369	0.637068	0.718499	0.082698	0.206694	0.269353	0.318793	0.814341	0.571038	0.352273	B
0.074312	0.58705	0.464721	0.183126	0.391709	0.162695	0.112024	0.701807	0.243169	0.193182	A
0.021274	0.548154	0.401042	0.257356	0.432139	0.174419	0.140996	0.735776	0.415301	0	A
0.00002	0.474345	0.377697	0.151741	0.331795	0.216936	0.320937	0.795097	0.672131	0.25	A
